,Unnamed: 0,Date_0,0,Date_1,1,Date_2,2,Date_3,3,Date_4,4,Date_5,5,Date_6,6,Date_7,7,Date_8,8,Date_9,9,Date_10,10,Date_11,11,Date_12,12,Date_13,13,Date_14,14,Date_15,15,Date_16,16,Date_17,17,Date_18,18,Date_19,19,Date_20,20,Date_21,21,Date_22,22,Date_23,23,Date_24,24,Date_25,25,Date_26,26,Date_27,27,Date_28,28,Date_29,29,Date_30,30,Date_31,31,Date_32,32,Date_33,33,Date_34,34,Date_35,35,Date_36,36,Date_37,37,Date_38,38,Date_39,39,Date_40,40,Date_41,41,Date_42,42,Date_43,43,Date_44,44,Date_45,45,Date_46,46,Date_47,47,Date_48,48,Date_49,49,Date_50,50,Date_51,51,Date_52,52,Date_53,53,Date_54,54,Date_55,55,Date_56,56,Date_57,57,Date_58,58,Date_59,59,Date_60,60,Date_61,61,Date_62,62,Date_63,63,Date_64,64,Date_65,65,Date_66,66,Date_67,67,Date_68,68,Date_69,69,Date_70,70,Date_71,71,Date_72,72,Date_73,73,Date_74,74,Date_75,75,Date_76,76,Date_77,77,Date_78,78,Date_79,79,Date_80,80,Date_81,81,Date_82,82,Date_83,83,Date_84,84,Date_85,85,Date_86,86,Date_87,87,Date_88,88,Date_89,89,Date_90,90,Date_91,91,Date_92,92,Date_93,93,Date_94,94,Date_95,95,Date_96,96,Date_97,97,Date_98,98,Date_99,99
0,0,2022-01-01,3412.0,2022-01-02,5845.0,2022-01-04,2421.0,2022-01-02,3447.0,2022-01-02,5939.0,2022-01-04,3094.0,2022-01-02,3362.0,2022-01-01,1138.0,2022-01-02,5846.0,2022-01-02,4093.0,2022-01-04,2906.0,2022-01-01,1686.0,2022-01-01,4811.0,2022-01-02,7292.0,2022-01-01,4461.0,2022-01-04,3188.0,2022-01-04,3570.0,2022-01-01,2298.0,2022-01-02,6133.0,2022-01-01,1315.0,2022-01-01,1573.0,2022-01-02,6409.0,2022-01-02,6153.0,2022-01-02,5869.0,2022-01-01,2090.0,2022-01-01,3289.0,2022-01-02,5941.0,2022-01-02,6284.0,2022-01-03,4362.0,2022-01-02,4070.0,2022-01-01,3483.0,2022-01-01,3237.0,2022-01-02,5100.0,2022-01-02,5363.0,2022-01-02,6573.0,2022-01-01,3672.0,2022-01-02,5704.0,2022-01-01,2927.0,2022-01-02,3945.0,2022-01-02,3008.0,2022-01-01,3092.0,2022-01-02,6807.0,2022-01-01,3989.0,2022-01-04,3939.0,2022-01-01,3810.0,2022-01-04,3365.0,2022-01-01,3404.0,2022-01-01,1725.0,2022-01-07,4308.0,2022-01-02,5210.0,2022-01-02,6411.0,2022-01-02,4463.0,2022-01-02,5062.0,2022-01-02,3613.0,2022-01-02,5775.0,2022-01-01,3837.0,2022-01-02,4262.0,2022-01-02,4952.0,2022-01-02,3171.0,2022-01-04,4361.0,2022-01-01,4013.0,2022-01-02,4267.0,2022-01-02,3839.0,2022-01-02,4136.0,2022-01-07,2429.0,2022-01-02,3131.0,2022-01-01,3518.0,2022-01-01,11321.0,2022-01-02,2627.0,2022-01-01,6408.0,2022-01-01,10014.0,2022-01-02,5002.0,2022-01-02,4192.0,2022-01-01,3096.0,2022-01-01,3731.0,2022-01-02,4325,2022-01-02,5326.0,2022-01-04,4907.0,2022-01-01,3533.0,2022-01-02,,2022-01-02,4967.0,2022-01-02,6463.0,2022-01-02,4720.0,2022-01-04,3197.0,2022-01-01,6025.0,2022-01-04,2763.0,2022-01-02,2903.0,2022-01-01,6966.0,2022-01-01,3391.0,2022-01-02,3209.0,2022-01-02,4267.0,2022-01-01,3338.0,2022-01-02,4251.0,2022-01-02,2565.0,2022-01-02,4855.0,2022-01-01,5333.0,2022-01-04,3002.0,2022-01-01,3748.0,2022-01-02,5985.0,2022-01-02,6026.0
1,1,2022-01-04,3585.0,2022-01-04,2648.0,2022-01-07,1560.0,2022-01-04,2124.0,2022-01-04,3364.0,2022-01-07,1091.0,2022-01-04,3848.0,2022-01-03,3369.0,2022-01-04,2339.0,2022-01-05,932.0,2022-01-07,1663.0,2022-01-03,3572.0,2022-01-03,3451.0,2022-01-04,4536.0,2022-01-04,4399.0,2022-01-07,3244.0,2022-01-07,4511.0,2022-01-03,2526.0,2022-01-04,5407.0,2022-01-03,3325.0,2022-01-04,4262.0,2022-01-07,2925.0,2022-01-04,5465.0,2022-01-07,1038.0,2022-01-03,5135.0,2022-01-04,3663.0,2022-01-07,4567.0,2022-01-04,4517.0,2022-01-10,3358.0,2022-01-04,3240.0,2022-01-04,3236.0,2022-01-03,5879.0,2022-01-04,2311.0,2022-01-04,3684.0,2022-01-04,3731.0,2022-01-04,3970.0,2022-01-04,3287.0,2022-01-03,5959.0,2022-01-04,4127.0,2022-01-04,7454.0,2022-01-03,4621.0,2022-01-04,3066.0,2022-01-04,3687.0,2022-01-07,2141.0,2022-01-04,4302.0,2022-01-07,2387.0,2022-01-04,4669.0,2022-01-04,4417.0,2022-01-10,6409.0,2022-01-04,5079.0,2022-01-04,2635.0,2022-01-05,1496.0,2022-01-04,4066.0,2022-01-05,2829.0,2022-01-04,2774.0,2022-01-04,4485.0,2022-01-04,5440.0,2022-01-04,4875.0,2022-01-05,1086.0,2022-01-07,3005.0,2022-01-03,2963.0,2022-01-05,993.0,2022-01-04,5031.0,2022-01-04,7975.0,2022-01-10,3926.0,2022-01-05,665.0,2022-01-03,4995.0,2022-01-04,3470.0,2022-01-05,2386.0,2022-01-03,3460.0,2022-01-03,5363.0,2022-01-05,1047.0,2022-01-04,3972.0,2022-01-04,3118.0,2022-01-03,3721.0,2022-01-03,2044,2022-01-04,6002.0,2022-01-07,5781.0,2022-01-03,3263.0,2022-01-04,7797.0,2022-01-04,4962.0,2022-01-04,1852.0,2022-01-04,7407.0,2022-01-09,2407.0,2022-01-04,3113.0,2022-01-07,1387.0,2022-01-05,1875.0,2022-01-04,3567.0,2022-01-04,2370.0,2022-01-05,2587.0,2022-01-04,4943.0,2022-01-04,3486.0,2022-01-05,1199.0,2022-01-04,2848.0,2022-01-05,1827.0,2022-01-03,2103.0,2022-01-07,965.0,2022-01-03,4158.0,2022-01-05,2750.0,2022-01-04,1421.0
2,2,2022-01-06,4753.0,2022-01-07,4967.0,2022-01-09,2822.0,2022-01-07,914.0,2022-01-07,4077.0,2022-01-14,959.0,2022-01-07,4609.0,2022-01-06,4463.0,2022-01-07,3181.0,2022-01-07,1655.0,2022-01-09,4801.0,2022-01-06,2877.0,2022-01-06,3561.0,2022-01-07,2810.0,2022-01-06,1932.0,2022-01-09,3301.0,2022-01-09,4841.0,2022-01-06,3178.0,2022-01-07,3724.0,2022-01-06,1582.0,2022-01-11,2476.0,2022-01-10,4905.0,2022-01-07,2541.0,2022-01-10,4017.0,2022-01-06,2192.0,2022-01-06,5737.0,2022-01-12,1969.0,2022-01-07,2113.0,2022-01-13,995.0,2022-01-07,2681.0,2022-01-06,1847.0,2022-01-06,4714.0,2022-01-07,4201.0,2022-01-07,1208.0,2022-01-07,3398.0,2022-01-06,3290.0,2022-01-07,1679.0,2022-01-06,4043.0,2022-01-07,1124.0,2022-01-07,957.0,2022-01-06,4643.0,2022-01-07,4148.0,2022-01-11,3916.0,2022-01-09,3726.0,2022-01-06,2810.0,2022-01-14,1320.0,2022-01-07,4123.0,2022-01-06,5414.0,2022-01-12,3047.0,2022-01-07,3694.0,2022-01-07,5934.0,2022-01-07,1272.0,2022-01-07,4855.0,2022-01-07,910.0,2022-01-07,2032.0,2022-01-06,3917.0,2022-01-07,2134.0,2022-01-07,4851.0,2022-01-07,929.0,2022-01-09,1938.0,2022-01-06,3935.0,2022-01-07,3747.0,2022-01-07,2199.0,2022-01-07,1908.0,2022-01-12,4169.0,2022-01-07,1005.0,2022-01-06,2477.0,2022-01-06,3844.0,2022-01-07,905.0,2022-01-06,3148.0,2022-01-06,3606.0,2022-01-07,4902.0,2022-01-07,2848.0,2022-01-06,4004.0,2022-01-06,3961.0,2022-01-05,7397,2022-01-07,2782.0,2022-01-09,3345.0,2022-01-06,2177.0,2022-01-09,2423.0,2022-01-07,4479.0,2022-01-07,1798.0,2022-01-07,7537.0,2022-01-14,2562.0,2022-01-06,5518.0,2022-01-09,3026.0,2022-01-07,1004.0,2022-01-06,3836.0,2022-01-06,1846.0,2022-01-07,4967.0,2022-01-07,2875.0,2022-01-06,6144.0,2022-01-07,1580.0,2022-01-07,961.0,2022-01-07,937.0,2022-01-06,2510.0,2022-01-10,3248.0,2022-01-06,2568.0,2022-01-07,895.0,2022-01-07,3258.0
3,3,2022-01-09,3330.0,2022-01-09,3946.0,2022-01-12,4273.0,2022-01-09,3323.0,2022-01-09,3489.0,2022-01-17,1047.0,2022-01-09,3360.0,2022-01-08,968.0,2022-01-09,1282.0,2022-01-10,1642.0,2022-01-12,4394.0,2022-01-08,1068.0,2022-01-08,3700.0,2022-01-09,1199.0,2022-01-09,3012.0,2022-01-12,3457.0,2022-01-12,2759.0,2022-01-08,4316.0,2022-01-09,3646.0,2022-01-08,3301.0,2022-01-14,3746.0,2022-01-12,4105.0,2022-01-09,3412.0,2022-01-12,4924.0,2022-01-08,2826.0,2022-01-09,5150.0,2022-01-17,1638.0,2022-01-09,3530.0,2022-01-15,1638.0,2022-01-09,3790.0,2022-01-09,6257.0,2022-01-08,3244.0,2022-01-09,3242.0,2022-01-09,4495.0,2022-01-09,1396.0,2022-01-09,3528.0,2022-01-09,4824.0,2022-01-08,2202.0,2022-01-09,3308.0,2022-01-09,3939.0,2022-01-08,2791.0,2022-01-09,3155.0,2022-01-14,3371.0,2022-01-12,7036.0,2022-01-09,5390.0,2022-01-17,1706.0,2022-01-11,4415.0,2022-01-09,1157.0,2022-01-15,1382.0,2022-01-09,5026.0,2022-01-09,2823.0,2022-01-10,4819.0,2022-01-09,7334.0,2022-01-10,3382.0,2022-01-09,1205.0,2022-01-09,2770.0,2022-01-09,2747.0,2022-01-09,4301.0,2022-01-10,2324.0,2022-01-12,2744.0,2022-01-08,1823.0,2022-01-10,3297.0,2022-01-09,6633.0,2022-01-09,4971.0,2022-01-15,1002.0,2022-01-10,2952.0,2022-01-08,3550.0,2022-01-09,6371.0,2022-01-10,4586.0,2022-01-08,1284.0,2022-01-08,1634.0,2022-01-10,5125.0,2022-01-09,4685.0,2022-01-09,3784.0,2022-01-08,1011.0,2022-01-07,931,2022-01-09,5821.0,2022-01-12,2276.0,2022-01-08,3305.0,2022-01-12,,2022-01-09,7618.0,2022-01-09,3609.0,2022-01-09,2797.0,2022-01-19,5412.0,2022-01-09,2398.0,2022-01-12,3571.0,2022-01-10,5188.0,2022-01-09,3024.0,2022-01-09,3780.0,2022-01-10,4795.0,2022-01-09,2708.0,2022-01-09,4094.0,2022-01-10,3943.0,2022-01-09,3454.0,2022-01-10,4688.0,2022-01-08,2637.0,2022-01-12,4163.0,2022-01-08,3565.0,2022-01-10,4694.0,2022-01-09,1651.0
4,4,2022-01-11,2639.0,2022-01-12,3679.0,2022-01-14,1096.0,2022-01-12,3467.0,2022-01-12,3843.0,2022-01-19,4089.0,2022-01-12,3645.0,2022-01-11,972.0,2022-01-12,2707.0,2022-01-12,5792.0,2022-01-14,2142.0,2022-01-11,2825.0,2022-01-11,3383.0,2022-01-12,3552.0,2022-01-11,4025.0,2022-01-14,1520.0,2022-01-14,4906.0,2022-01-11,3649.0,2022-01-12,6093.0,2022-01-11,3543.0,2022-01-16,2590.0,2022-01-15,1037.0,2022-01-12,4470.0,2022-01-15,1238.0,2022-01-11,4136.0,2022-01-11,5799.0,2022-01-22,7434.0,2022-01-12,6314.0,2022-01-18,3884.0,2022-01-12,5379.0,2022-01-11,1277.0,2022-01-11,1684.0,2022-01-12,5056.0,2022-01-12,4508.0,2022-01-12,1339.0,2022-01-11,2754.0,2022-01-12,4189.0,2022-01-11,1243.0,2022-01-12,3465.0,2022-01-12,4841.0,2022-01-11,4196.0,2022-01-12,3395.0,2022-01-16,3161.0,2022-01-14,2452.0,2022-01-11,4497.0,2022-01-19,4199.0,2022-01-14,2624.0,2022-01-11,1420.0,2022-01-17,1141.0,2022-01-12,4216.0,2022-01-12,6243.0,2022-01-12,4473.0,2022-01-12,5028.0,2022-01-12,4518.0,2022-01-12,2262.0,2022-01-11,4635.0,2022-01-12,4103.0,2022-01-12,4460.0,2022-01-12,4171.0,2022-01-14,4708.0,2022-01-11,849.0,2022-01-12,3234.0,2022-01-12,3747.0,2022-01-12,3273.0,2022-01-17,1006.0,2022-01-12,4444.0,2022-01-11,2626.0,2022-01-11,3669.0,2022-01-12,5261.0,2022-01-11,1217.0,2022-01-11,1467.0,2022-01-12,4354.0,2022-01-12,4199.0,2022-01-11,5128.0,2022-01-11,1008.0,2022-01-08,5017,2022-01-12,4544.0,2022-01-14,3779.0,2022-01-11,2946.0,2022-01-14,3752.0,2022-01-12,4819.0,2022-01-12,2318.0,2022-01-10,4282.0,2022-01-24,3772.0,2022-01-11,3766.0,2022-01-14,1376.0,2022-01-12,3604.0,2022-01-11,1171.0,2022-01-11,3785.0,2022-01-12,4021.0,2022-01-12,4817.0,2022-01-11,3130.0,2022-01-12,3547.0,2022-01-12,1083.0,2022-01-12,4011.0,2022-01-11,3412.0,2022-01-14,977.0,2022-01-11,4619.0,2022-01-12,4457.0,2022-01-12,1550.0
5,5,2022-01-14,1767.0,2022-01-14,2933.0,2022-01-17,2632.0,2022-01-14,888.0,2022-01-14,1007.0,2022-01-22,3175.0,2022-01-14,3270.0,2022-01-13,4248.0,2022-01-14,2463.0,2022-01-15,3098.0,2022-01-17,7379.0,2022-01-13,5709.0,2022-01-13,4326.0,2022-01-14,3236.0,2022-01-14,2508.0,2022-01-17,3767.0,2022-01-17,4516.0,2022-01-13,6440.0,2022-01-14,1266.0,2022-01-13,5840.0,2022-01-19,4836.0,2022-01-17,1026.0,2022-01-14,1006.0,2022-01-17,1601.0,2022-01-13,5291.0,2022-01-14,2393.0,2022-01-27,5140.0,2022-01-14,1046.0,2022-01-20,2317.0,2022-01-14,3432.0,2022-01-14,3487.0,2022-01-13,3188.0,2022-01-14,3175.0,2022-01-14,2699.0,2022-01-14,2503.0,2022-01-14,4712.0,2022-01-14,940.0,2022-01-13,6177.0,2022-01-14,1965.0,2022-01-14,2438.0,2022-01-13,1679.0,2022-01-14,2797.0,2022-01-19,4296.0,2022-01-17,2991.0,2022-01-14,4671.0,2022-01-22,4248.0,2022-01-16,3777.0,2022-01-14,6814.0,2022-01-20,3084.0,2022-01-14,3494.0,2022-01-14,2055.0,2022-01-15,4928.0,2022-01-14,1326.0,2022-01-15,3879.0,2022-01-14,3458.0,2022-01-14,2335.0,2022-01-14,1497.0,2022-01-14,4858.0,2022-01-15,2099.0,2022-01-17,3843.0,2022-01-13,4041.0,2022-01-15,1934.0,2022-01-14,1060.0,2022-01-14,2201.0,2022-01-20,8538.0,2022-01-15,3648.0,2022-01-13,6139.0,2022-01-14,2664.0,2022-01-15,919.0,2022-01-13,4585.0,2022-01-13,5981.0,2022-01-15,2268.0,2022-01-14,1530.0,2022-01-14,2733.0,2022-01-13,4757.0,2022-01-10,5446,2022-01-14,1272.0,2022-01-17,4255.0,2022-01-13,2385.0,2022-01-17,,2022-01-14,5661.0,2022-01-14,2525.0,2022-01-12,5563.0,2022-01-29,2305.0,2022-01-14,4999.0,2022-01-17,1721.0,2022-01-15,1276.0,2022-01-14,4482.0,2022-01-14,1662.0,2022-01-15,1913.0,2022-01-14,1346.0,2022-01-14,3113.0,2022-01-15,1425.0,2022-01-14,1228.0,2022-01-15,1328.0,2022-01-13,5113.0,2022-01-15,946.0,2022-01-13,4197.0,2022-01-15,1150.0,2022-01-14,8874.0
6,6,2022-01-16,2268.0,2022-01-17,2164.0,2022-01-19,4250.0,2022-01-17,1870.0,2022-01-17,2638.0,2022-01-24,3930.0,2022-01-17,4587.0,2022-01-16,1767.0,2022-01-17,1144.0,2022-01-17,2808.0,2022-01-19,4069.0,2022-01-16,3585.0,2022-01-16,2124.0,2022-01-17,2766.0,2022-01-16,5213.0,2022-01-19,2743.0,2022-01-19,2967.0,2022-01-16,1473.0,2022-01-17,2470.0,2022-01-16,2291.0,2022-01-21,4355.0,2022-01-20,10303.0,2022-01-17,2950.0,2022-01-20,3164.0,2022-01-16,3819.0,2022-01-16,2943.0,2022-02-01,3873.0,2022-01-17,2175.0,2022-01-23,2798.0,2022-01-17,3584.0,2022-01-16,2695.0,2022-01-16,3862.0,2022-01-17,2327.0,2022-01-17,4309.0,2022-01-17,1361.0,2022-01-16,4298.0,2022-01-17,7647.0,2022-01-16,1586.0,2022-01-17,2742.0,2022-01-17,5438.0,2022-01-16,1150.0,2022-01-17,3034.0,2022-01-21,5081.0,2022-01-19,2373.0,2022-01-16,3385.0,2022-01-24,3378.0,2022-01-17,5691.0,2022-01-16,4971.0,2022-01-22,2090.0,2022-01-17,6918.0,2022-01-17,2294.0,2022-01-17,3643.0,2022-01-17,6324.0,2022-01-17,1707.0,2022-01-17,3710.0,2022-01-16,2652.0,2022-01-17,4970.0,2022-01-17,11770.0,2022-01-17,1073.0,2022-01-19,4993.0,2022-01-16,2865.0,2022-01-17,1157.0,2022-01-17,1724.0,2022-01-17,2005.0,2022-01-22,1125.0,2022-01-17,974.0,2022-01-16,2702.0,2022-01-16,5588.0,2022-01-17,6052.0,2022-01-16,2552.0,2022-01-16,5261.0,2022-01-17,4144.0,2022-01-17,2925.0,2022-01-16,4337.0,2022-01-16,1596.0,2022-01-12,4570,2022-01-17,4039.0,2022-01-19,5143.0,2022-01-16,3151.0,2022-01-19,5993.0,2022-01-17,6071.0,2022-01-17,1659.0,2022-01-14,1522.0,2022-02-03,6051.0,2022-01-16,5638.0,2022-01-19,1486.0,2022-01-17,941.0,2022-01-16,3110.0,2022-01-16,5128.0,2022-01-17,5273.0,2022-01-17,5739.0,2022-01-16,3202.0,2022-01-17,10055.0,2022-01-17,4881.0,2022-01-17,872.0,2022-01-16,2391.0,2022-01-17,878.0,2022-01-16,2613.0,2022-01-17,1366.0,2022-01-17,793.0
7,7,2022-01-19,5926.0,2022-01-19,4773.0,2022-01-22,2737.0,2022-01-19,3084.0,2022-01-19,5599.0,2022-01-27,5995.0,2022-01-19,1584.0,2022-01-18,1018.0,2022-01-19,4135.0,2022-01-20,4811.0,2022-01-22,5457.0,2022-01-18,923.0,2022-01-18,3834.0,2022-01-19,5036.0,2022-01-19,6111.0,2022-01-22,3296.0,2022-01-22,3720.0,2022-01-18,4530.0,2022-01-19,4266.0,2022-01-18,1367.0,2022-01-24,4105.0,2022-01-22,2298.0,2022-01-19,5031.0,2022-01-22,2666.0,2022-01-18,1356.0,2022-01-19,5010.0,2022-02-06,7736.0,2022-01-19,5736.0,2022-01-25,1928.0,2022-01-19,3610.0,2022-01-19,5269.0,2022-01-18,5178.0,2022-01-19,3204.0,2022-01-19,1376.0,2022-01-19,5562.0,2022-01-19,5927.0,2022-01-19,5065.0,2022-01-18,955.0,2022-01-19,1864.0,2022-01-19,2185.0,2022-01-18,1052.0,2022-01-19,5795.0,2022-01-24,5284.0,2022-01-22,3041.0,2022-01-19,5083.0,2022-01-27,5765.0,2022-01-19,5196.0,2022-01-19,6148.0,2022-01-25,2061.0,2022-01-19,3625.0,2022-01-19,3559.0,2022-01-20,6953.0,2022-01-19,2915.0,2022-01-20,5496.0,2022-01-19,4934.0,2022-01-19,5134.0,2022-01-19,1741.0,2022-01-19,4412.0,2022-01-20,5777.0,2022-01-22,4056.0,2022-01-18,895.0,2022-01-20,4274.0,2022-01-19,1266.0,2022-01-19,2838.0,2022-01-25,1916.0,2022-01-20,3867.0,2022-01-18,5057.0,2022-01-19,5295.0,2022-01-20,4774.0,2022-01-18,1511.0,2022-01-18,2252.0,2022-01-20,6747.0,2022-01-19,2439.0,2022-01-19,6047.0,2022-01-18,1506.0,2022-01-13,1506,2022-01-19,3372.0,2022-01-22,4339.0,2022-01-18,1145.0,2022-01-22,,2022-01-19,1144.0,2022-01-19,4577.0,2022-01-15,1857.0,2022-02-08,6370.0,2022-01-19,5568.0,2022-01-22,2656.0,2022-01-20,2459.0,2022-01-19,5439.0,2022-01-19,6497.0,2022-01-20,2917.0,2022-01-19,4773.0,2022-01-19,5748.0,2022-01-20,7524.0,2022-01-19,1972.0,2022-01-20,4353.0,2022-01-18,1045.0,2022-01-19,957.0,2022-01-18,2938.0,2022-01-20,10402.0,2022-01-19,4845.0
8,8,2022-01-21,4678.0,2022-01-22,6303.0,2022-01-24,3352.0,2022-01-22,3391.0,2022-01-22,5370.0,2022-01-29,4318.0,2022-01-22,4230.0,2022-01-21,6752.0,2022-01-22,4263.0,2022-01-22,3911.0,2022-01-24,3063.0,2022-01-21,4323.0,2022-01-21,5635.0,2022-01-22,4116.0,2022-01-21,7747.0,2022-01-24,4043.0,2022-01-24,4505.0,2022-01-21,5759.0,2022-01-22,5450.0,2022-01-21,5542.0,2022-01-26,4843.0,2022-01-25,1942.0,2022-01-22,4442.0,2022-01-25,2098.0,2022-01-21,4062.0,2022-01-21,3340.0,2022-02-11,3057.0,2022-01-22,6077.0,2022-01-28,4296.0,2022-01-22,3547.0,2022-01-21,4973.0,2022-01-21,3088.0,2022-01-22,3793.0,2022-01-22,4237.0,2022-01-22,2177.0,2022-01-21,4594.0,2022-01-22,3248.0,2022-01-21,3950.0,2022-01-22,3436.0,2022-01-22,3363.0,2022-01-21,4680.0,2022-01-22,3762.0,2022-01-26,4886.0,2022-01-24,5143.0,2022-01-21,5944.0,2022-01-29,4283.0,2022-01-21,5327.0,2022-01-21,3266.0,2022-01-27,7558.0,2022-01-22,4823.0,2022-01-22,4452.0,2022-01-22,2557.0,2022-01-22,6849.0,2022-01-22,3779.0,2022-01-22,1463.0,2022-01-21,5396.0,2022-01-22,2210.0,2022-01-22,3283.0,2022-01-22,3394.0,2022-01-24,3407.0,2022-01-21,4672.0,2022-01-22,4100.0,2022-01-22,2375.0,2022-01-22,3745.0,2022-01-27,4623.0,2022-01-22,4848.0,2022-01-21,5371.0,2022-01-21,4985.0,2022-01-22,6104.0,2022-01-21,5065.0,2022-01-21,5760.0,2022-01-22,3791.0,2022-01-22,2712.0,2022-01-21,3988.0,2022-01-21,5331.0,2022-01-15,1261,2022-01-22,5292.0,2022-01-24,4508.0,2022-01-21,4519.0,2022-01-24,2062.0,2022-01-22,4811.0,2022-01-22,5772.0,2022-01-17,1315.0,2022-02-13,3659.0,2022-01-21,3948.0,2022-01-24,5305.0,2022-01-22,1365.0,2022-01-21,3489.0,2022-01-21,3789.0,2022-01-22,3741.0,2022-01-22,2651.0,2022-01-21,4476.0,2022-01-22,3689.0,2022-01-22,4139.0,2022-01-22,4125.0,2022-01-21,3842.0,2022-01-20,1299.0,2022-01-21,5086.0,2022-01-22,3153.0,2022-01-22,4902.0
9,9,2022-01-24,5720.0,2022-01-24,6125.0,2022-01-27,7032.0,2022-01-24,2797.0,2022-01-24,2719.0,2022-02-01,5253.0,2022-01-24,5092.0,2022-01-23,1932.0,2022-01-24,5727.0,2022-01-25,6111.0,2022-01-27,6735.0,2022-01-23,2612.0,2022-01-23,4786.0,2022-01-24,6412.0,2022-01-24,4039.0,2022-01-27,7106.0,2022-01-27,4630.0,2022-01-23,5138.0,2022-01-24,5143.0,2022-01-23,4001.0,2022-01-29,5682.0,2022-01-27,4055.0,2022-01-24,5667.0,2022-01-27,4992.0,2022-01-23,2253.0,2022-01-24,5371.0,2022-02-16,7376.0,2022-01-24,2732.0,2022-01-30,6767.0,2022-01-24,4430.0,2022-01-24,5460.0,2022-01-23,4762.0,2022-01-24,5023.0,2022-01-24,4816.0,2022-01-24,5540.0,2022-01-24,6638.0,2022-01-24,3433.0,2022-01-23,2766.0,2022-01-24,4187.0,2022-01-24,4372.0,2022-01-23,3437.0,2022-01-24,6346.0,2022-01-29,3872.0,2022-01-27,6870.0,2022-01-24,4296.0,2022-02-01,5120.0,2022-01-22,6055.0,2022-01-24,3043.0,2022-01-30,4583.0,2022-01-24,4499.0,2022-01-24,2786.0,2022-01-25,2663.0,2022-01-24,4255.0,2022-01-25,1878.0,2022-01-24,3002.0,2022-01-24,5543.0,2022-01-24,2955.0,2022-01-24,5492.0,2022-01-25,5033.0,2022-01-27,6485.0,2022-01-23,4188.0,2022-01-25,5956.0,2022-01-24,4134.0,2022-01-24,4337.0,2022-01-30,5721.0,2022-01-25,1916.0,2022-01-23,4325.0,2022-01-24,6577.0,2022-01-25,1842.0,2022-01-23,3105.0,2022-01-23,3211.0,2022-01-25,5328.0,2022-01-24,4192.0,2022-01-24,3565.0,2022-01-23,5182.0,2022-01-17,5971,2022-01-24,3580.0,2022-01-27,7087.0,2022-01-23,3822.0,2022-01-27,,2022-01-24,5101.0,2022-01-24,3689.0,2022-01-19,2077.0,2022-02-18,4513.0,2022-01-24,1288.0,2022-01-27,6208.0,2022-01-25,1840.0,2022-01-24,4771.0,2022-01-24,3546.0,2022-01-25,2023.0,2022-01-24,5142.0,2022-01-24,4089.0,2022-01-25,1920.0,2022-01-24,3884.0,2022-01-25,1820.0,2022-01-23,1704.0,2022-01-22,1443.0,2022-01-23,3520.0,2022-01-25,1848.0,2022-01-24,4423.0
