,Unnamed: 0.2,Unnamed: 0,Date_0,0,Date_1,1,Date_2,2,Date_3,3,Date_4,4,Date_5,5,Date_6,6,Date_7,7,Date_8,8,Date_9,9,Date_10,10,Date_11,11,Date_12,12,Date_13,13,Date_14,14,Date_15,15,Date_16,16,Date_17,17,Date_18,18,Date_19,19,Date_20,20,Date_21,21,Date_22,22,Date_23,23,Date_24,24,Date_25,25,Date_26,26,Date_27,27,Date_28,28,Date_29,29,Date_30,30,Date_31,31,Date_32,32,Date_33,33,Date_34,34,Date_35,35,Date_36,36,Date_37,37,Date_38,38,Date_39,39,Date_40,40,Date_41,41,Date_42,42,Date_43,43,Date_44,44,Date_45,45,Date_46,46,Date_47,47,Date_48,48,Date_49,49,Date_50,50,Date_51,51,Date_52,52,Date_53,53,Date_54,54,Date_55,55,Date_56,56,Date_57,57,Date_58,58,Date_59,59,Date_60,60,Date_61,61,Date_62,62,Date_63,63,Date_64,64,Date_65,65,Date_66,66,Date_67,67,Date_68,68,Date_69,69,Date_70,70,Date_71,71,Date_72,72,Date_73,73,Date_74,74,Date_75,75,Date_76,76,Date_77,77,Date_78,78,Date_79,79,Date_80,80,Date_81,81,Date_82,82,Date_83,83,Date_84,84,Date_85,85,Date_86,86,Date_87,87,Date_88,88,Date_89,89,Date_90,90,Unnamed: 0.1,Date_91,91,Date_92,92,Date_93,93,Date_94,94,Date_95,95,Date_96,96,Date_97,97,Date_98,98,Date_99,99
0,0,0,2022-01-01,0.9980246,2022-01-02,0.99843675,2022-01-04,0.99220574,2022-01-02,0.99843675,2022-01-02,0.99365115,2022-01-04,0.99819225,2022-01-02,0.99839836,2022-01-01,0.99689853,2022-01-02,0.9985433,2022-01-02,0.98253775,2022-01-04,0.9921886,2022-01-01,0.9981669,2022-01-01,0.9969964,2022-01-02,0.98791295,2022-01-01,0.9918864,2022-01-04,0.9944928,2022-01-04,0.9922151,2022-01-01,0.9868578,2022-01-02,0.98882073,2022-01-01,0.9981058,2022-01-01,0.99355656,2022-01-02,0.9916446,2022-01-02,0.9984651,2022-01-02,0.990728,2022-01-01,0.9982485,2022-01-01,0.9799831,2022-01-02,0.9983793,2022-01-02,0.9935404,2022-01-03,0.9984817,2022-01-02,0.9912561,2022-01-01,0.9981814,2022-01-01,0.99593836,2022-01-02,1.0101144,2022-01-02,0.9983818,2022-01-02,0.9936592,2022-01-01,0.99121046,2022-01-02,0.98889065,2022-01-01,0.99817705,2022-01-02,0.99837613,2022-01-02,0.99841404,2022-01-01,0.9980618,2022-01-02,0.9987503,2022-01-01,0.9980493,2022-01-04,0.9921628,2022-01-01,0.9980389,2022-01-04,0.99820083,2022-01-01,0.99357754,2022-01-01,0.99833876,2022-01-07,0.9934728,2022-01-02,0.98884267,2022-01-02,0.99841434,2022-01-02,0.9984174,2022-01-02,0.998461,2022-01-02,0.991963,2022-01-02,0.99838555,2022-01-01,0.9980202,2022-01-02,1.0098546,2022-01-02,0.9983729,2022-01-02,0.9918641,2022-01-04,0.99824595,2022-01-01,0.99600655,2022-01-02,0.9983771,2022-01-02,0.9983766,2022-01-02,0.99132,2022-01-07,0.9897252,2022-01-02,0.99844027,2022-01-01,0.99818087,2022-01-01,0.9946512,2022-01-02,0.991966,2022-01-01,0.9958006,2022-01-01,0.9981991,2022-01-02,0.99844116,2022-01-02,0.99130034,2022-01-01,0.99832267,2022-01-01,0.99818236,2022-01-02,0.98176557,2022-01-02,0.99842834,2022-01-04,0.9982422,2022-01-01,0.99805146,2022-01-02,0.99875253,2022-01-02,0.9984132,2022-01-02,0.98884606,2022-01-02,0.9983623,2022-01-04,0.99842066,2022-01-01,0.99835634,2022-01-04,0.99218845,2022-01-02,0.9893638,2022-01-01,0.99844575,2022-01-01,0.9912191,2022-01-02,0.9983781,2022-01-02,0.99837196,0.0,2022-01-01,0.99828815,2022-01-02,0.9984048,2022-01-02,0.99843156,2022-01-02,0.9984425,2022-01-01,0.9981901,2022-01-04,0.9916672,2022-01-01,0.9980614,2022-01-02,0.99843425,2022-01-02,0.9878178
1,1,1,2022-01-04,1.0011009,2022-01-04,0.9714046,2022-01-07,0.9533764,2022-01-04,0.9862706,2022-01-04,0.9880284,2022-01-07,0.9880825,2022-01-04,0.9950487,2022-01-03,0.9890337,2022-01-04,0.9886832,2022-01-05,0.9871533,2022-01-07,0.990803,2022-01-03,0.99373573,2022-01-03,0.98896563,2022-01-04,0.98919666,2022-01-04,0.9889415,2022-01-07,0.9995595,2022-01-07,0.9546987,2022-01-03,0.9876823,2022-01-04,0.9875636,2022-01-03,0.9930281,2022-01-04,0.9842154,2022-01-07,0.9824916,2022-01-04,0.99220496,2022-01-07,0.98252434,2022-01-03,0.9920485,2022-01-04,0.98538435,2022-01-07,0.98926437,2022-01-04,0.9881757,2022-01-10,0.98433346,2022-01-04,0.98475355,2022-01-04,0.99526453,2022-01-03,0.9884714,2022-01-04,0.992166,2022-01-04,0.98889464,2022-01-04,0.98798704,2022-01-04,0.98738474,2022-01-04,0.98702097,2022-01-03,0.9993735,2022-01-04,0.9912674,2022-01-04,0.986036,2022-01-03,0.99113494,2022-01-04,0.98844576,2022-01-04,0.98813695,2022-01-07,0.9909251,2022-01-04,0.9946321,2022-01-07,0.9880886,2022-01-04,0.98417634,2022-01-04,1.0009687,2022-01-10,0.9844233,2022-01-04,0.9872162,2022-01-04,0.97148305,2022-01-05,0.9924923,2022-01-04,0.9866687,2022-01-05,0.9859975,2022-01-04,0.971257,2022-01-04,1.0013778,2022-01-04,0.992203,2022-01-04,1.0002741,2022-01-05,0.98680776,2022-01-07,0.993064,2022-01-03,0.98856497,2022-01-05,0.9878854,2022-01-04,0.992931,2022-01-04,0.9850902,2022-01-10,0.9842308,2022-01-05,0.99239695,2022-01-03,0.9920628,2022-01-04,0.9864917,2022-01-05,0.98593974,2022-01-03,0.9887157,2022-01-03,0.99377376,2022-01-05,0.99784774,2022-01-04,0.9849832,2022-01-04,0.98960114,2022-01-03,0.9920948,2022-01-03,0.9871918,2022-01-04,0.9866611,2022-01-07,0.99303883,2022-01-03,0.9911442,2022-01-04,0.9884658,2022-01-04,0.99500096,2022-01-04,0.98744226,2022-01-04,0.9939235,2022-01-09,0.9886459,2022-01-04,0.9992779,2022-01-07,0.99080306,2022-01-05,1.0020905,2022-01-04,0.9865305,2022-01-04,0.98726946,2022-01-05,0.9878948,2022-01-04,1.0032542,1.0,2022-01-04,0.98958683,2022-01-05,0.9925399,2022-01-04,0.9863241,2022-01-05,0.988016,2022-01-03,0.99205333,2022-01-07,0.9863701,2022-01-03,0.99113417,2022-01-05,0.988013,2022-01-04,0.98932743
2,2,2,2022-01-06,0.98534876,2022-01-07,0.98864174,2022-01-09,0.9922527,2022-01-07,0.9862706,2022-01-07,0.9887997,2022-01-14,0.98415583,2022-01-07,0.98620945,2022-01-06,0.9981034,2022-01-07,0.9978162,2022-01-07,0.97344476,2022-01-09,0.99222136,2022-01-06,0.9879765,2022-01-06,0.99819314,2022-01-07,0.98525864,2022-01-06,0.9910641,2022-01-09,0.9934229,2022-01-09,0.9922748,2022-01-06,0.98390657,2022-01-07,0.98854923,2022-01-06,0.9867127,2022-01-11,0.9921107,2022-01-10,0.9845934,2022-01-07,0.9878138,2022-01-10,0.98464406,2022-01-06,0.9883078,2022-01-06,0.97879547,2022-01-12,0.98926437,2022-01-07,0.9887635,2022-01-13,0.98433346,2022-01-07,0.9858829,2022-01-06,0.98555726,2022-01-06,0.98927164,2022-01-07,0.9910719,2022-01-07,0.9851922,2022-01-07,0.98880446,2022-01-06,0.9906269,2022-01-07,0.98858786,2022-01-06,0.98910064,2022-01-07,0.9851367,2022-01-07,0.986036,2022-01-06,0.98621446,2022-01-07,0.9980379,2022-01-11,0.9843625,2022-01-09,0.99219334,2022-01-06,0.98559827,2022-01-14,0.98415226,2022-01-07,0.9933711,2022-01-06,0.9891707,2022-01-12,0.9824004,2022-01-07,0.9885047,2022-01-07,0.9885067,2022-01-07,0.9863957,2022-01-07,0.9866687,2022-01-07,0.9915632,2022-01-07,0.9889881,2022-01-06,0.9849222,2022-01-07,0.9909632,2022-01-07,0.9848354,2022-01-07,0.99145377,2022-01-09,1.0011076,2022-01-06,0.989368,2022-01-07,0.98529726,2022-01-07,0.98537964,2022-01-07,0.98596203,2022-01-12,0.98322624,2022-01-07,0.9862081,2022-01-06,0.9884009,2022-01-06,0.99568605,2022-01-07,0.99158204,2022-01-06,0.9892357,2022-01-06,0.9876265,2022-01-07,0.98687553,2022-01-07,0.9859437,2022-01-06,0.9873481,2022-01-06,0.98870754,2022-01-05,1.0044441,2022-01-07,0.9866611,2022-01-09,1.0011101,2022-01-06,0.9860547,2022-01-09,0.9884658,2022-01-07,0.98657864,2022-01-07,0.98858386,2022-01-07,0.9848079,2022-01-14,0.9886459,2022-01-06,0.9881535,2022-01-09,0.9922368,2022-01-07,0.982608,2022-01-06,0.9886894,2022-01-06,0.990712,2022-01-07,0.98518974,2022-01-07,0.98475164,2.0,2022-01-06,0.987411,2022-01-07,0.98621756,2022-01-07,0.9863241,2022-01-07,0.9849048,2022-01-06,0.98826814,2022-01-10,0.9942496,2022-01-06,0.98635983,2022-01-07,0.98496467,2022-01-07,0.98524946
3,3,3,2022-01-09,0.9990273,2022-01-09,0.9734354,2022-01-12,0.9959035,2022-01-09,0.9862706,2022-01-09,0.9880284,2022-01-17,0.9877038,2022-01-09,0.9950256,2022-01-08,0.9890337,2022-01-09,0.9886832,2022-01-10,0.9871533,2022-01-12,0.9960154,2022-01-08,0.9941746,2022-01-08,0.98896563,2022-01-09,0.98919666,2022-01-09,0.9889415,2022-01-12,0.98551494,2022-01-12,0.96239275,2022-01-08,0.9876823,2022-01-09,0.9875636,2022-01-08,0.99109375,2022-01-14,0.9842154,2022-01-12,0.982503,2022-01-09,0.9920731,2022-01-12,0.9825362,2022-01-08,0.9920738,2022-01-09,0.98538435,2022-01-17,0.98926437,2022-01-09,0.9881757,2022-01-15,0.98938996,2022-01-09,0.98475355,2022-01-09,0.9976737,2022-01-08,0.9884714,2022-01-09,0.9921458,2022-01-09,1.0049436,2022-01-09,0.98798704,2022-01-09,0.98738474,2022-01-09,0.98702097,2022-01-08,0.9987345,2022-01-09,0.9939747,2022-01-09,0.986036,2022-01-08,0.99380213,2022-01-09,0.98844576,2022-01-14,0.9880915,2022-01-12,0.99606925,2022-01-09,0.99702114,2022-01-17,0.98771036,2022-01-11,0.99214536,2022-01-09,0.98799354,2022-01-15,0.9844233,2022-01-09,0.9872162,2022-01-09,0.97345674,2022-01-10,1.0006454,2022-01-09,0.9866687,2022-01-10,0.9859975,2022-01-09,0.9733324,2022-01-09,0.9988863,2022-01-09,0.99217904,2022-01-09,0.8862242,2022-01-10,0.98680776,2022-01-12,0.99851906,2022-01-08,0.98856497,2022-01-10,0.9865653,2022-01-09,0.9905856,2022-01-09,0.9850902,2022-01-15,1.0010537,2022-01-10,1.0006225,2022-01-08,0.992092,2022-01-09,0.9864917,2022-01-10,0.98593974,2022-01-08,0.9887157,2022-01-08,0.9942109,2022-01-10,0.9974901,2022-01-09,0.9849832,2022-01-09,0.992123,2022-01-08,0.99212456,2022-01-07,0.9974728,2022-01-09,0.9866611,2022-01-12,0.9909515,2022-01-08,0.99380517,2022-01-12,0.9973792,2022-01-09,0.99497616,2022-01-09,0.98744226,2022-01-09,0.9913361,2022-01-19,0.9886459,2022-01-09,0.9989908,2022-01-12,0.9959403,2022-01-10,0.98476845,2022-01-09,0.9868146,2022-01-09,0.98726946,2022-01-10,0.9865366,2022-01-09,0.91839874,3.0,2022-01-09,0.9921137,2022-01-10,1.0006208,2022-01-09,0.9863241,2022-01-10,0.98646784,2022-01-08,0.9920788,2022-01-12,1.0010531,2022-01-08,0.9938099,2022-01-10,0.9864906,2022-01-09,0.98932743
4,4,4,2022-01-11,0.98534876,2022-01-12,0.98864174,2022-01-14,0.9937418,2022-01-12,0.9862706,2022-01-12,0.9903106,2022-01-19,1.0049028,2022-01-12,0.98620945,2022-01-11,0.99723417,2022-01-12,0.9970757,2022-01-12,0.9736239,2022-01-14,0.99370694,2022-01-11,0.9879765,2022-01-11,0.997326,2022-01-12,0.98607695,2022-01-11,0.9908056,2022-01-14,0.98335165,2022-01-14,0.9937668,2022-01-11,0.98365974,2022-01-12,0.98830533,2022-01-11,0.9867127,2022-01-16,0.9921552,2022-01-15,0.9845934,2022-01-12,0.9878138,2022-01-15,0.98464406,2022-01-11,0.9883078,2022-01-11,0.9810324,2022-01-22,0.98926437,2022-01-12,0.9902782,2022-01-18,0.98433346,2022-01-12,0.9858829,2022-01-11,0.98555726,2022-01-11,0.99086016,2022-01-12,0.99621785,2022-01-12,0.9851922,2022-01-12,0.99030924,2022-01-11,0.99080706,2022-01-12,0.9883385,2022-01-11,0.98910064,2022-01-12,0.9851367,2022-01-12,0.986036,2022-01-11,0.98621446,2022-01-12,0.9973346,2022-01-16,0.9843625,2022-01-14,0.9936824,2022-01-11,0.98559827,2022-01-19,1.0049078,2022-01-14,0.98417634,2022-01-11,0.9891707,2022-01-17,0.9826057,2022-01-12,0.98825604,2022-01-12,0.9885067,2022-01-12,0.9863957,2022-01-12,0.9866687,2022-01-12,0.99177516,2022-01-12,0.9889881,2022-01-11,0.9849222,2022-01-12,0.99616665,2022-01-12,0.9848354,2022-01-12,0.99167025,2022-01-14,0.9843611,2022-01-11,0.99096996,2022-01-12,0.98529726,2022-01-12,0.98537964,2022-01-12,0.98596203,2022-01-17,0.948886,2022-01-12,0.9862081,2022-01-11,0.9884009,2022-01-11,0.99542904,2022-01-12,0.99179375,2022-01-11,0.9908343,2022-01-11,0.9876265,2022-01-12,0.98687553,2022-01-12,0.9859437,2022-01-11,0.9873481,2022-01-11,0.98870754,2022-01-08,1.0024947,2022-01-12,0.9866611,2022-01-14,0.98438907,2022-01-11,0.9860547,2022-01-14,0.9884658,2022-01-12,0.98657864,2022-01-12,0.9883377,2022-01-10,1.007074,2022-01-24,0.9886459,2022-01-11,0.9881535,2022-01-14,0.99372774,2022-01-12,0.9826034,2022-01-11,0.9886894,2022-01-11,0.9909124,2022-01-12,0.98518974,2022-01-12,0.98475164,4.0,2022-01-11,0.987411,2022-01-12,0.98621756,2022-01-12,0.9863241,2022-01-12,0.9849048,2022-01-11,0.98826814,2022-01-14,0.9920517,2022-01-11,0.98635983,2022-01-12,0.98496467,2022-01-12,0.9860714
5,5,5,2022-01-14,1.0012643,2022-01-14,0.97177595,2022-01-17,0.9937543,2022-01-14,0.9862706,2022-01-14,0.9880284,2022-01-22,0.9882064,2022-01-14,0.9948871,2022-01-13,0.9890337,2022-01-14,0.9886832,2022-01-15,0.9871533,2022-01-17,0.9939432,2022-01-13,0.99329126,2022-01-13,0.98896563,2022-01-14,0.98919666,2022-01-14,0.9889415,2022-01-17,0.96807456,2022-01-17,0.92931235,2022-01-13,0.9876823,2022-01-14,0.9875636,2022-01-13,0.9928067,2022-01-19,0.9842154,2022-01-17,0.98271996,2022-01-14,0.9922807,2022-01-17,0.98275083,2022-01-13,0.9916742,2022-01-14,0.98538435,2022-01-27,0.98926437,2022-01-14,0.9881757,2022-01-20,0.98433346,2022-01-14,0.98475355,2022-01-14,0.9941471,2022-01-13,0.9884714,2022-01-14,0.99363095,2022-01-14,0.9910504,2022-01-14,0.98798704,2022-01-14,0.98738474,2022-01-14,0.98702097,2022-01-13,0.9992787,2022-01-14,0.9927045,2022-01-14,0.986036,2022-01-13,0.9931835,2022-01-14,0.98844576,2022-01-19,0.91318625,2022-01-17,0.99423546,2022-01-14,0.9935279,2022-01-22,0.9882127,2022-01-16,0.99218905,2022-01-14,0.9877118,2022-01-20,0.9844233,2022-01-14,0.9872162,2022-01-14,0.97186446,2022-01-15,0.9937141,2022-01-14,0.9866687,2022-01-15,0.9859975,2022-01-14,0.9716328,2022-01-14,1.0016164,2022-01-14,0.9936611,2022-01-14,0.9920443,2022-01-15,0.98680776,2022-01-17,0.9922206,2022-01-13,0.98856497,2022-01-15,0.98624575,2022-01-14,0.9938696,2022-01-14,0.9850902,2022-01-20,0.9842308,2022-01-15,0.99358606,2022-01-13,0.991689,2022-01-14,0.9864917,2022-01-15,0.98593974,2022-01-13,0.9887157,2022-01-13,0.9933325,2022-01-15,0.9985082,2022-01-14,0.9849832,2022-01-14,0.98962975,2022-01-13,0.9917153,2022-01-10,0.98479515,2022-01-14,0.9866611,2022-01-17,0.9922285,2022-01-13,0.99318534,2022-01-17,0.9967743,2022-01-14,0.9948374,2022-01-14,0.98744226,2022-01-12,0.9848079,2022-01-29,0.9886459,2022-01-14,0.99940246,2022-01-17,0.99397045,2022-01-15,0.98476845,2022-01-14,0.9870926,2022-01-14,0.98726946,2022-01-15,0.986244,2022-01-14,0.9923449,5.0,2022-01-14,0.9896125,2022-01-15,0.9937593,2022-01-14,0.9863241,2022-01-15,0.98631644,2022-01-13,0.99167985,2022-01-15,0.9962379,2022-01-13,0.99319327,2022-01-15,0.9863196,2022-01-14,0.98932743
6,6,6,2022-01-16,0.98534876,2022-01-17,0.98864174,2022-01-19,0.99229634,2022-01-17,0.9862706,2022-01-17,0.99100333,2022-01-24,0.98415583,2022-01-17,0.98620945,2022-01-16,0.9968592,2022-01-17,0.9964764,2022-01-17,0.97354543,2022-01-19,0.9922449,2022-01-16,0.9879765,2022-01-16,0.9969591,2022-01-17,0.9855362,2022-01-16,0.98983514,2022-01-19,0.9834703,2022-01-19,0.9923307,2022-01-16,0.983523,2022-01-17,0.9883853,2022-01-16,0.9867127,2022-01-21,0.99282044,2022-01-20,0.9845934,2022-01-17,0.9878138,2022-01-20,0.98464406,2022-01-16,0.9883078,2022-01-16,0.9812268,2022-02-01,0.98926437,2022-01-17,0.9909725,2022-01-23,0.98433346,2022-01-17,0.9857128,2022-01-16,0.98555726,2022-01-16,0.9876115,2022-01-17,0.99454874,2022-01-17,0.9851922,2022-01-17,0.9910187,2022-01-16,0.99081975,2022-01-17,0.9884195,2022-01-16,0.98910064,2022-01-17,0.9851367,2022-01-17,0.986036,2022-01-16,0.98621446,2022-01-17,0.9967332,2022-01-21,0.9843625,2022-01-19,0.99222887,2022-01-16,0.98559827,2022-01-24,0.98415226,2022-01-17,0.9922575,2022-01-16,0.9891707,2022-01-22,0.9823863,2022-01-17,0.98834294,2022-01-17,0.9885067,2022-01-17,0.9863957,2022-01-17,0.9866687,2022-01-17,0.9923038,2022-01-17,0.9889881,2022-01-16,0.9849222,2022-01-17,0.99429435,2022-01-17,0.9848354,2022-01-17,0.9921914,2022-01-19,0.9843611,2022-01-16,0.98756987,2022-01-17,0.98529726,2022-01-17,0.98537964,2022-01-17,0.98582214,2022-01-22,0.94419366,2022-01-17,0.9862081,2022-01-16,0.9884009,2022-01-16,0.9949272,2022-01-17,0.9923229,2022-01-16,0.9876041,2022-01-16,0.9876265,2022-01-17,0.98687553,2022-01-17,0.98580354,2022-01-16,0.9873481,2022-01-16,0.98870754,2022-01-12,0.9973664,2022-01-17,0.9866611,2022-01-19,0.98438907,2022-01-16,0.9860547,2022-01-19,0.9884658,2022-01-17,0.98657864,2022-01-17,0.9884162,2022-01-14,0.9942089,2022-02-03,0.9886459,2022-01-16,0.9881535,2022-01-19,0.99228406,2022-01-17,0.98281425,2022-01-16,0.9886894,2022-01-16,0.9909183,2022-01-17,0.98518974,2022-01-17,0.98475164,6.0,2022-01-16,0.987411,2022-01-17,0.98621756,2022-01-17,0.9863241,2022-01-17,0.9849048,2022-01-16,0.98826814,2022-01-17,0.9798596,2022-01-16,0.98635983,2022-01-17,0.98496467,2022-01-17,0.98552996
7,7,7,2022-01-19,1.0019809,2022-01-19,0.9713798,2022-01-22,0.9924268,2022-01-19,0.9862706,2022-01-19,0.9880284,2022-01-27,0.9881205,2022-01-19,0.9953531,2022-01-18,0.9890337,2022-01-19,0.9886832,2022-01-20,0.9871533,2022-01-22,0.9925275,2022-01-18,0.9944845,2022-01-18,0.98896563,2022-01-19,0.98919666,2022-01-19,0.9889415,2022-01-22,0.9644578,2022-01-22,0.96807915,2022-01-18,0.9876823,2022-01-19,0.9875636,2022-01-18,0.9912577,2022-01-24,0.9842154,2022-01-22,0.9824916,2022-01-19,0.99283403,2022-01-22,0.98252434,2022-01-18,0.99215394,2022-01-19,0.98538435,2022-02-06,0.98926437,2022-01-19,0.9881757,2022-01-25,0.98433346,2022-01-19,0.98475355,2022-01-19,0.9943781,2022-01-18,0.9884714,2022-01-19,0.9921574,2022-01-19,0.98870933,2022-01-19,0.98798704,2022-01-19,0.98738474,2022-01-19,0.98702097,2022-01-18,0.9992567,2022-01-19,0.9911051,2022-01-19,0.986036,2022-01-18,0.9935351,2022-01-19,0.98844576,2022-01-24,0.98823375,2022-01-22,0.99264014,2022-01-19,0.9937571,2022-01-27,0.9881256,2022-01-19,0.98417634,2022-01-19,0.98794615,2022-01-25,0.9844233,2022-01-19,0.9872162,2022-01-19,0.97142184,2022-01-20,0.9911422,2022-01-19,0.9866687,2022-01-20,0.9859975,2022-01-19,0.9713537,2022-01-19,1.001895,2022-01-19,0.9921822,2022-01-19,1.0000024,2022-01-20,0.98680776,2022-01-22,0.99227667,2022-01-18,0.98856497,2022-01-20,0.98665243,2022-01-19,0.99282724,2022-01-19,0.9850902,2022-01-25,0.9842308,2022-01-20,0.99101776,2022-01-18,0.9921662,2022-01-19,0.9864917,2022-01-20,0.98593974,2022-01-18,0.9887157,2022-01-18,0.99452287,2022-01-20,0.9988962,2022-01-19,0.9849832,2022-01-19,0.98923343,2022-01-18,0.9922017,2022-01-13,0.9873335,2022-01-19,0.9866611,2022-01-22,0.99153185,2022-01-18,0.99353486,2022-01-22,0.9983442,2022-01-19,0.9953079,2022-01-19,0.98744226,2022-01-15,1.0062973,2022-02-08,0.9886459,2022-01-19,0.9986635,2022-01-22,0.9925107,2022-01-20,0.98476845,2022-01-19,0.9866069,2022-01-19,0.98726946,2022-01-20,0.98662424,2022-01-19,1.0030491,7.0,2022-01-19,0.98921615,2022-01-20,0.99120927,2022-01-19,0.9863241,2022-01-20,0.98655105,2022-01-18,0.9921534,2022-01-19,0.9287806,2022-01-18,0.99354565,2022-01-20,0.986575,2022-01-19,0.98932743
8,8,8,2022-01-21,0.98534876,2022-01-22,0.98864174,2022-01-24,0.9933077,2022-01-22,0.9862706,2022-01-22,0.9917897,2022-01-29,0.98415583,2022-01-22,0.98620945,2022-01-21,0.99508065,2022-01-22,0.99805367,2022-01-22,0.9737257,2022-01-24,0.99327224,2022-01-21,0.9879765,2022-01-21,0.9951791,2022-01-22,0.9857358,2022-01-21,0.9898377,2022-01-24,0.9834072,2022-01-24,0.9933322,2022-01-21,0.9831328,2022-01-22,0.9883062,2022-01-21,0.9867127,2022-01-26,0.99318373,2022-01-25,0.9845934,2022-01-22,0.9878138,2022-01-25,0.98464406,2022-01-21,0.9883078,2022-01-21,0.98187715,2022-02-11,0.98926437,2022-01-22,0.99176127,2022-01-28,0.98433346,2022-01-22,0.98587996,2022-01-21,0.98555726,2022-01-21,0.99093604,2022-01-22,0.992776,2022-01-22,0.9851922,2022-01-22,0.9918014,2022-01-21,0.9919113,2022-01-22,0.98833936,2022-01-21,0.98910064,2022-01-22,0.9851367,2022-01-22,0.986036,2022-01-21,0.98621446,2022-01-22,0.9982998,2022-01-26,0.9843625,2022-01-24,0.99323875,2022-01-21,0.98559827,2022-01-29,0.98415226,2022-01-21,0.9928545,2022-01-21,0.9891707,2022-01-27,0.9831291,2022-01-22,0.98825663,2022-01-22,0.9885067,2022-01-22,0.9863957,2022-01-22,0.9866687,2022-01-22,0.9926899,2022-01-22,0.9889881,2022-01-21,0.9849222,2022-01-22,0.99268174,2022-01-22,0.9848354,2022-01-22,0.99258196,2022-01-24,0.9843611,2022-01-21,0.9910428,2022-01-22,0.98529726,2022-01-22,0.98537964,2022-01-22,0.9859568,2022-01-27,0.99590516,2022-01-22,0.9862081,2022-01-21,0.9884009,2022-01-21,0.99441254,2022-01-22,0.9927062,2022-01-21,0.9908967,2022-01-21,0.9876265,2022-01-22,0.98687553,2022-01-22,0.9859366,2022-01-21,0.9873481,2022-01-21,0.98870754,2022-01-15,0.98479515,2022-01-22,0.9866611,2022-01-24,0.98438907,2022-01-21,0.9860547,2022-01-24,0.9884658,2022-01-22,0.98657864,2022-01-22,0.9883391,2022-01-17,0.9848079,2022-02-13,0.9886459,2022-01-21,0.9881535,2022-01-24,0.9932873,2022-01-22,0.982608,2022-01-21,0.9886894,2022-01-21,0.99197143,2022-01-22,0.98518974,2022-01-22,0.98475164,8.0,2022-01-21,0.987411,2022-01-22,0.98621756,2022-01-22,0.9863241,2022-01-22,0.9849048,2022-01-21,0.98826814,2022-01-20,0.9945658,2022-01-21,0.98635983,2022-01-22,0.98496467,2022-01-22,0.98573357
9,9,9,2022-01-24,1.0014434,2022-01-24,0.9713822,2022-01-27,0.98436254,2022-01-24,0.9862706,2022-01-24,0.9880284,2022-02-01,0.9878379,2022-01-24,0.994966,2022-01-23,0.9890337,2022-01-24,0.9886832,2022-01-25,0.9871533,2022-01-27,0.98447543,2022-01-23,0.9934328,2022-01-23,0.98896563,2022-01-24,0.98919666,2022-01-24,0.9889415,2022-01-27,0.98426235,2022-01-27,0.9843032,2022-01-23,0.9876823,2022-01-24,0.9875636,2022-01-23,0.9930547,2022-01-29,0.9842154,2022-01-27,0.98324764,2022-01-24,0.9918567,2022-01-27,0.9832798,2022-01-23,0.9916734,2022-01-24,0.98538435,2022-02-16,0.98926437,2022-01-24,0.9881757,2022-01-30,0.98433346,2022-01-24,0.98475355,2022-01-24,0.9931677,2022-01-23,0.9884714,2022-01-24,0.99318725,2022-01-24,0.99099934,2022-01-24,0.98798704,2022-01-24,0.98738474,2022-01-24,0.98702097,2022-01-23,0.9990054,2022-01-24,0.99274886,2022-01-24,0.986036,2022-01-23,0.991167,2022-01-24,0.98844576,2022-01-29,0.9876259,2022-01-27,0.9844845,2022-01-24,0.9925562,2022-02-01,0.987843,2022-01-22,0.99222934,2022-01-24,0.98803985,2022-01-30,0.9844233,2022-01-24,0.9872162,2022-01-24,0.9714013,2022-01-25,0.9915967,2022-01-24,0.9866687,2022-01-25,0.9859975,2022-01-24,0.9713563,2022-01-24,1.0017865,2022-01-24,0.99322253,2022-01-24,0.99196774,2022-01-25,0.98680776,2022-01-27,1.0019563,2022-01-23,0.98856497,2022-01-25,0.9862113,2022-01-24,0.9939043,2022-01-24,0.9850902,2022-01-30,0.9842308,2022-01-25,0.99146545,2022-01-23,0.9916897,2022-01-24,0.9864917,2022-01-25,0.98593974,2022-01-23,0.9887157,2022-01-23,0.99346364,2022-01-25,0.9968955,2022-01-24,0.9849832,2022-01-24,0.9920584,2022-01-23,0.9917177,2022-01-17,0.998104,2022-01-24,0.9866611,2022-01-27,1.001884,2022-01-23,0.9911761,2022-01-27,0.99612176,2022-01-24,0.994954,2022-01-24,0.98744226,2022-01-19,0.9938301,2022-02-18,0.9886459,2022-01-24,0.9996842,2022-01-27,0.9843612,2022-01-25,0.98476845,2022-01-24,0.9870258,2022-01-24,0.98726946,2022-01-25,0.9862135,2022-01-24,0.9922716,9.0,2022-01-24,0.9920471,2022-01-25,0.9916588,2022-01-24,0.9863241,2022-01-25,0.98631376,2022-01-23,0.99167913,2022-01-22,0.982718,2022-01-23,0.99116653,2022-01-25,0.9863142,2022-01-24,0.98932743
